Season ID,Golden Boot ,Goals,Golden Glove,Clean Sheets,Player of the Year,Young Player of the Year,Manager of the Season
9293,Teddy Sheringham,22,,,Paul McGrath,Ryan Giggs ,
9394,Andy Cole,34,,,Eric Cantona,Andy Cole,Alex Ferguson
9495,Alan Shearer,34,,,Alan Shearer,Robbie Fowler,Kenny Dalglish
9596,Alan Shearer,31,,,Les Ferdinand,Robbie Fowler ,Alex Ferguson 
9697,Alan Shearer,25,,,Alan Shearer ,David Beckham,Alex Ferguson 
9798,Dion Dublin + Michael Owen + Chris Sutton,18,,,Dennis Bergkamp,Michael Owen,Arsène Wenger
9899,Jimmy Floyd Hasselbaink + Michael Owen + Dwight Yorke,18,,,David Ginola,Nicolas Anelka,Alex Ferguson 
9900,Kevin Phillips,30,,,Roy Keane,Harry Kewell,Alex Ferguson 
0001,Jimmy Floyd Hasselbaink,23,,,Teddy Sheringham,Steven Gerrard,George Burley
0102,Thierry Henry,24,,,Ruud van Nistelrooy,Craig Bellamy,Arsène Wenger 
0203,Ruud van Nistelrooy,25,,,Thierry Henry,Jermaine Jenas,Alex Ferguson 
0304,Thierry Henry,30,,,Thierry Henry ,Scott Parker,Arsène Wenger 
0405,Thierry Henry,25,Petr Cech,24,John Terry,Wayne Rooney,José Mourinho
0506,Thierry Henry,27,Pepe Reina,20,Steven Gerrard,Wayne Rooney ,José Mourinho 
0607,Didier Drogba,20,Pepe Reina,19,Cristiano Ronaldo,Cristiano Ronaldo,Alex Ferguson
0708,Cristiano Ronaldo,31,Pepe Reina,18,Cristiano Ronaldo,Cesc Fàbregas,Alex Ferguson
0809,Nicolas Anelka,19,Edwin van der Sar,21,Ryan Giggs,Ashley Young,Alex Ferguson
0910,Didier Drogba,29,Petr Cech,17,Wayne Rooney,James Milner,Harry Redknapp
1011,Dimitar Berbatov + Carols Tevez,20,Joe Hart,18,Gareth Bale,Jack Wilshere,Alex Ferguson
1112,Robin van Persie,30,Joe Hart,17,Robin van Persie,Kyle Walker,Alan Pardew
1213,Robin van Persie,26,Joe Hart,18,Gareth Bale ,Gareth Bale,Alex Ferguson
1314,Luis Suárez,31,Petr Cech + Wojciech Szczesny,16,Luis Suárez,Eden Hazard,Tony Pulis
1415,Sergio Agüero,26,Joe Hart,14,Eden Hazard,Harry Kane,José Mourinho 
1516,Harry Kane,25,Petr Cech,16,Riyad Mahrez,Dele Alli,Claudio Ranieri
1617,Harry Kane,29,Thibaut Courtois,16,N'Golo Kanté,Dele Alli ,Antonio Conte
1718,Mohamed Salah,35,David de Gea,18,Mohamed Salah,Leroy Sané,Pep Guardiola
1819,Pierre-Emerick Aubameyang + Sadio Mané + Mohamed Salah,22,Alisson,21,Virgil van Dijk,Raheem Sterling,Pep Guardiola
1920,Jamie Vardy,23,Ederson,16,Kevin De Bruyne,Trent Alexander-Arnold,Jürgen Klopp
2021,Harry Kane,23,Ederson,19,Kevin De Bruyne ,Phil Foden,Pep Guardiola
2122,Mohamed Salah + Son Heung-min,23,Alisson + Ederson,20,Mohamed Salah ,Phil Foden,Jürgen Klopp
2223,Erling Haaland,36,David de Gea,17,Erling Haaland,Bukayo Saka,Pep Guardiola
