Club ID,Club,Location,Founding Year
ARS,Arsenal,London (Holloway),1886
AVL,Aston Villa,Birmingham (Aston),1874
BAR,Barnsley,Barnsley,1887
BIR,Birmingham City,Birmingham (Bordesley),1875
BLR,Blackburn Rovers,Blackburn,1875
BLP,Blackpool,Blackpool,1887
BOL,Bolton Wanderers,Bolton,1874
BOU,Bournemouth,Bournemouth,1899
BRA,Bradford City,Bradford,1903
BRE,Brentford,London (Brentford),1889
BHA,Brighton & Hove Albion,Brighton,1901
BUR,Burnley,Burnley,1882
CAR,Cardiff City,Cardiff,1899
CHA,Charlton Athletic,London (Charlton),1905
CHE,Chelsea,London (Fulham),1905
COV,Coventry City,Coventry,1883
CRY,Crystal Palace,London (Selhurst),1861
DER,Derby County,Derby,1884
EVE,Everton,Liverpool (Walton),1878
FUL,Fulham,London (Fulham),1879
HUD,Huddersfield Town,Huddersfield,1908
HUL,Hull City,Kingston upon Hull,1904
IPS,Ipswich Town,Ipswich,1878
LEE,Leeds United,Leeds,1919
LEI,Leicester City,Leicester,1884
LIV,Liverpool,Liverpool (Anfield),1892
LUT,Luton Town,Luton,1885
MCI,Manchester City,Manchester,1880
MUN,Manchester United,Old Trafford,1878
MID,Middlesbrough,Middlesbrough,1876
NEW,Newcastle United,Newcastle upon Tyne,1892
NOR,Norwich City,Norwich,1902
NFO,Nottingham Forest,West Bridgford,1865
OLD,Oldham Athletic,Oldham,1893
POR,Portsmouth,Portsmouth,1898
QPR,Queens Park Rangers,London (Shepherd's Bush),1882
REA,Reading,Reading,1871
SHU,Sheffield United,Sheffield (Highfield),1889
SHW,Sheffield Wednesday,Sheffield (Owlerton),1867
SOT,Southampton,Southampton,1885
STO,Stoke City,Stoke-on-Trent,1863
SUN,Sunderland,Sunderland,1879
SWA,Swansea City,Swansea,1912
SWI,Swindon Town,Swindon,1879
TOT,Tottenham Hotspur,London (Tottenham),1882
WAT,Watford,Watford,1881
WBA,West Bromwich Albion,West Bromwich,1878
WHU,West Ham United,London (Stratford),1895
WIG,Wigan Athletic,Wigan,1932
WIM,Wimbledon,London (Wimbledon),2002
WOL,Wolverhampton Wanderers,Wolverhampton,1877
