Manager ID,Name
M1,George Graham
M2,Stewart Houston 
M3,Bruce Rioch
M4,Pat Rice 
M5,Arsène Wenger
M6,Unai Emery
M7,Freddie Ljungberg 
M8,Mikel Arteta 
M9,Ron Atkinson
M10,Brian Little
M11,John Gregory
M12,John Deehan 
M13,Stuart Gray 
M14,Graham Taylor
M15,David O'Leary
M16,Martin O'Neill
M17,Kevin MacDonald 
M18,Gérard Houllier
M19,Gary McAllister 
M20,Alex McLeish
M21,Paul Lambert
M22,Scott Marshall 
M23,Tim Sherwood
M24,Rémi Garde
M25,Eric Black 
M26,Dean Smith
M27,Steven Gerrard
M28,Aaron Danks 
M29,Unai Emery 
M30,Danny Wilson
M31,Steve Bruce
M32,Kenny Dalglish
M33,Ray Harford
M34,Tony Parkes
M35,Roy Hodgson
M36,Brian Kidd
M37,Graeme Souness
M38,Mark Hughes
M39,Paul Ince
M40,Sam Allardyce
M41,Steve Kean
M42,Ian Holloway
M43,Roy McFarland
M44,Colin Todd
M45,Sammy Lee
M46,Archie Knox 
M47,Gary Megson
M48,Owen Coyle
M49,Eddie Howe
M50,Scott Parker
M51,Gary O'Neil
M52,Andoni Iraola 
M53,Paul Jewell
M54,Chris Hutchings
M55,Stuart McCall 
M56,Jim Jefferies
M57,Thomas Frank 
M58,Chris Hughton
M59,Graham Potter
M60,Roberto De Zerbi 
M61,Brian Laws
M62,Sean Dyche
M63,Mike Jackson 
M64,Vincent Kompany 
M65,Malky Mackay
M66,David Kerslake 
M67,Ole Gunnar Solskjær
M68,Neil Warnock
M69,Alan Curbishley
M70,Iain Dowie
M71,Les Reed
M72,Alan Pardew
M73,Ian Porterfield
M74,David Webb 
M75,Glenn Hoddle
M76,Ruud Gullit
M77,Gianluca Vialli
M78,Graham Rix 
M79,Ray Wilkins 
M80,Claudio Ranieri
M81,José Mourinho
M82,Avram Grant
M83,Luiz Felipe Scolari
M84,Guus Hiddink 
M85,Carlo Ancelotti
M86,André Villas-Boas
M87,Roberto Di Matteo
M88,Rafael Benítez 
M89,Steve Holland 
M90,Antonio Conte
M91,Maurizio Sarri
M92,Frank Lampard
M93,Thomas Tuchel
M94,Bruno Saltor 
M95,Frank Lampard 
M96,Mauricio Pochettino 
M97,Bobby Gould
M98,Phil Neal
M99,Gordon Strachan
M100,Steve Coppell
M101,Alan Smith
M102,Attilio Lombardo 
M103,Tomas Brolin 
M104,Ron Noades 
M105,Ray Lewington 
M106,Keith Millen 
M107,Tony Pulis
M108,Frank de Boer
M109,Patrick Vieira
M110,Paddy McCarthy 
M111,Roy Hodgson 
M112,Jim Smith
M113,Billy McEwan 
M114,Billy Davies
M115,Howard Kendall
M116,Jimmy Gabriel 
M117,Mike Walker
M118,Joe Royle
M119,Dave Watson 
M120,Walter Smith
M121,David Moyes
M122,Roberto Martínez
M123,David Unsworth 
M124,Ronald Koeman
M125,Marco Silva
M126,Duncan Ferguson 
M127,Rafael Benítez
M128,Sean Dyche 
M129,Jean Tigana
M130,Chris Coleman
M131,Lawrie Sanchez
M132,Martin Jol
M133,René Meulensteen
M134,Felix Magath
M135,Slaviša Jokanović
M136,Marco Silva 
M137,David Wagner
M138,Mark Hudson 
M139,Jan Siewert
M140,Phil Brown
M141,Mike Phelan
M142,John Lyall
M143,Paul Goddard 
M144,John Wark 
M145,George Burley
M146,Howard Wilkinson
M147,Terry Venables
M148,Peter Reid
M149,Eddie Gray 
M150,Marcelo Bielsa
M151,Jesse Marsch
M152,Michael Skubala 
M153,Javi Gracia
M154,Mark McGhee
M155,Peter Taylor
M156,Dave Bassett
M157,Micky Adams
M158,Nigel Pearson
M159,Craig Shakespeare
M160,Michael Appleton 
M161,Claude Puel
M162,Adam Sadler 
M163,Mike Stowell 
M164,Brendan Rodgers
M165,Roy Evans
M166,Phil Thompson 
M167,Jürgen Klopp 
M168,Rob Edwards 
M169,Tony Book 
M170,Brian Horton
M171,Alan Ball
M172,Kevin Keegan
M173,Stuart Pearce
M174,Sven-Göran Eriksson
M175,Roberto Mancini
M176,Brian Kidd 
M177,Manuel Pellegrini
M178,Pep Guardiola 
M179,Alex Ferguson
M180,Ryan Giggs 
M181,Louis van Gaal
M182,Michael Carrick 
M183,Ralf Rangnick 
M184,Erik ten Hag 
M185,Lennie Lawrence
M186,Bryan Robson
M187,Steve McClaren
M188,Gareth Southgate
M189,Aitor Karanka
M190,Steve Agnew 
M191,Terry McDermott 
M192,Steve Clarke 
M193,Bobby Robson
M194,John Carver 
M195,Glenn Roeder
M196,Nigel Pearson 
M197,Chris Hughton 
M198,Joe Kinnear
M199,Alan Shearer
M200,John Carver
M201,Graeme Jones 
M202,Eddie Howe 
M203,John Deehan
M204,Nigel Worthington
M205,Neil Adams
M206,Alex Neil
M207,Daniel Farke
M208,Brian Clough
M209,Frank Clark
M210,Stuart Pearce 
M211,Micky Adams 
M212,Steve Cooper 
M213,Harry Redknapp
M214,Velimir Zajec
M215,Alain Perrin
M216,Joe Jordan 
M217,Tony Adams
M218,Paul Hart
M219,Gerry Francis
M220,Ray Wilkins
M221,Mark Bowen 
M222,Kevin Bond 
M223,Chris Ramsey
M224,Brian McDermott
M225,Nigel Adkins
M226,Chris Wilder
M227,Paul Heckingbottom 
M228,Paul Heckingbottom
M229,Chris Wilder 
M230,Trevor Francis
M231,David Pleat
M232,Peter Shreeves 
M233,Ian Branfoot
M234,Dave Merrington
M235,Dave Jones
M236,Stuart Gray
M237,Steve Wigley 
M238,Paul Sturrock
M239,Steve Wigley
M240,Mauricio Pochettino
M241,Mauricio Pellegrino
M242,Kelvin Davis 
M243,Ralph Hasenhüttl
M244,Rubén Sellés 
M245,Nathan Jones
M246,Rubén Sellés
M247,Eddie Niedzwiecki 
M248,Mick McCarthy
M249,Kevin Ball 
M250,Roy Keane
M251,Ricky Sbragia
M252,Paolo Di Canio
M253,Gus Poyet
M254,Dick Advocaat
M255,Michael Laudrup
M256,Garry Monk
M257,Alan Curtis 
M258,Francesco Guidolin
M259,Bob Bradley
M260,Paul Clement
M261,Leon Britton 
M262,Carlos Carvalhal
M263,John Gorman
M264,Doug Livermore
M265,Ossie Ardiles
M266,Steve Perryman 
M267,Christian Gross
M268,David Pleat 
M269,Jacques Santini
M270,Clive Allen 
M271,Alex Inglethorpe 
M272,Juande Ramos
M273,Ryan Mason 
M274,Nuno Espírito Santo
M275,Cristian Stellini 
M276,Ange Postecoglou 
M277,Aidy Boothroyd
M278,Quique Sánchez Flores
M279,Walter Mazzarri
M280,Hayden Mullins 
M281,Xisco Muñoz
M282,Frank Burrows 
M283,Tony Mowbray
M284,Steve Clarke
M285,Keith Downing 
M286,Pepe Mel
M287,Alan Irvine
M288,Rob Kelly 
M289,Gary Megson 
M290,Darren Moore
M291,Slaven Bilić
M292,Billy Bonds
M293,Trevor Brooking 
M294,Kevin Keen 
M295,Gianfranco Zola
M296,David Moyes 
M297,Frank Barlow 
M298,Egil Olsen
M299,Terry Burton
M300,Terry Connor
M301,Bruno Lage
M302,Steve Davis 
M303,Julen Lopetegui
M304,Gary O'Neil 
