Name,Club,First Season ID,Last Season ID
George Graham,Arsenal,9293,9495
Stewart Houston ,Arsenal,9596,9596
Bruce Rioch,Arsenal,9596,9596
Stewart Houston ,Arsenal,9697,9697
Pat Rice ,Arsenal,9697,9697
Arsène Wenger,Arsenal,9697,9697
Unai Emery,Arsenal,1819,1819
Freddie Ljungberg ,Arsenal,1920,1920
Mikel Arteta ,Arsenal,1920,
Ron Atkinson,Aston Villa,9293,9394
Brian Little,Aston Villa,9495,9798
John Gregory,Aston Villa,9899,9899
John Deehan ,Aston Villa,0203,0203
Stuart Gray ,Aston Villa,0203,0203
Graham Taylor,Aston Villa,0203,0203
David O'Leary,Aston Villa,0304,0506
Martin O'Neill,Aston Villa,0607,0910
Kevin MacDonald ,Aston Villa,1011,1011
Gérard Houllier,Aston Villa,1011,1011
Gary McAllister ,Aston Villa,1112,1112
Alex McLeish,Aston Villa,1112,1112
Paul Lambert,Aston Villa,1213,1415
Scott Marshall ,Aston Villa,1516,1516
Tim Sherwood,Aston Villa,1516,1516
Kevin MacDonald ,Aston Villa,1516,1516
Rémi Garde,Aston Villa,1516,1516
Eric Black ,Aston Villa,1617,1617
Dean Smith,Aston Villa,1819,2021
Steven Gerrard,Aston Villa,2122,2122
Aaron Danks ,Aston Villa,2223,2223
Unai Emery ,Aston Villa,2223,
Danny Wilson,Barnsley,9495,9798
Steve Bruce,Birmingham City,0102,0607
Eric Black ,Birmingham City,0708,0708
Alex McLeish,Birmingham City,0708,1011
Kenny Dalglish,Blackburn Rovers,9293,9495
Ray Harford,Blackburn Rovers,9596,9596
Tony Parkes,Blackburn Rovers,9697,9697
Roy Hodgson,Blackburn Rovers,9798,9798
Brian Kidd,Blackburn Rovers,9899,9899
Graeme Souness,Blackburn Rovers,0001,0304
Mark Hughes,Blackburn Rovers,0405,0708
Paul Ince,Blackburn Rovers,0809,0809
Sam Allardyce,Blackburn Rovers,0809,0910
Steve Kean,Blackburn Rovers,1011,1112
Ian Holloway,Blackpool,0910,1112
Roy McFarland,Bolton Wanderers,9596,9596
Colin Todd,Bolton Wanderers,9697,9899
Sam Allardyce,Bolton Wanderers,9900,9900
Sammy Lee,Bolton Wanderers,0708,0708
Archie Knox ,Bolton Wanderers,0708,0708
Gary Megson,Bolton Wanderers,0708,0809
Owen Coyle,Bolton Wanderers,1011,1112
Eddie Howe,Bournemouth,1213,1920
Scott Parker,Bournemouth,2122,2122
Gary O'Neil,Bournemouth,2223,2223
Andoni Iraola ,Bournemouth,2324,
Paul Jewell,Bradford City,9899,9900
Chris Hutchings,Bradford City,0001,9900
Stuart McCall ,Bradford City,0001,9900
Jim Jefferies,Bradford City,0001,0001
Thomas Frank ,Brentford,1819,
Chris Hughton,Brighton & Hove Albion,1415,1819
Graham Potter,Brighton & Hove Albion,1920,2122
Roberto De Zerbi ,Brighton & Hove Albion,2223,
Owen Coyle,Burnley,0708,0910
Brian Laws,Burnley,1011,1011
Sean Dyche,Burnley,1213,2122
Mike Jackson ,Burnley,2223,2223
Vincent Kompany ,Burnley,2223,
Malky Mackay,Cardiff City,1112,1213
David Kerslake ,Cardiff City,1314,1314
Ole Gunnar Solskjær,Cardiff City,1415,1415
Neil Warnock,Cardiff City,1617,1819
Alan Curbishley,Charlton Athletic,9293,9293
Iain Dowie,Charlton Athletic,0607,0607
Les Reed,Charlton Athletic,0607,0607
Alan Pardew,Charlton Athletic,0607,0708
Ian Porterfield,Chelsea,9293,9293
David Webb ,Chelsea,9394,9394
Glenn Hoddle,Chelsea,9394,9596
Ruud Gullit,Chelsea,9697,9798
Gianluca Vialli,Chelsea,9899,9900
Graham Rix ,Chelsea,0001,9900
Ray Wilkins ,Chelsea,0001,9900
Claudio Ranieri,Chelsea,0001,0304
José Mourinho,Chelsea,0405,0607
Avram Grant,Chelsea,0708,0708
Luiz Felipe Scolari,Chelsea,0809,0809
Ray Wilkins ,Chelsea,0910,0910
Guus Hiddink ,Chelsea,0910,0910
Carlo Ancelotti,Chelsea,0910,1011
André Villas-Boas,Chelsea,1112,1112
Roberto Di Matteo,Chelsea,1213,1213
Rafael Benítez ,Chelsea,1213,1213
José Mourinho,Chelsea,1314,1415
Steve Holland ,Chelsea,1516,1516
Guus Hiddink ,Chelsea,1516,1516
Antonio Conte,Chelsea,1617,1718
Maurizio Sarri,Chelsea,1819,1819
Frank Lampard,Chelsea,1920,2021
Thomas Tuchel,Chelsea,2122,2122
Graham Potter,Chelsea,2223,2223
Bruno Saltor ,Chelsea,2223,2223
Frank Lampard ,Chelsea,2223,2223
Mauricio Pochettino ,Chelsea,2324,
Bobby Gould,Coventry City,9293,9293
Phil Neal,Coventry City,9394,9495
Ron Atkinson,Coventry City,9596,9596
Gordon Strachan,Coventry City,9697,9697
Steve Coppell,Crystal Palace,9293,9293
Alan Smith,Crystal Palace,9394,9495
Steve Coppell,Crystal Palace,9798,9798
Attilio Lombardo ,Crystal Palace,9899,9899
Tomas Brolin ,Crystal Palace,9899,9899
Ron Noades ,Crystal Palace,9899,9899
Ray Lewington ,Crystal Palace,9899,9899
Iain Dowie,Crystal Palace,0304,0506
Ian Holloway,Crystal Palace,1213,1213
Keith Millen ,Crystal Palace,1314,1314
Tony Pulis,Crystal Palace,1314,1314
Keith Millen ,Crystal Palace,1415,1415
Neil Warnock,Crystal Palace,1415,1415
Alan Pardew,Crystal Palace,1516,1516
Sam Allardyce,Crystal Palace,1617,1617
Frank de Boer,Crystal Palace,1718,1718
Roy Hodgson,Crystal Palace,1718,2021
Patrick Vieira,Crystal Palace,2122,2223
Paddy McCarthy ,Crystal Palace,2223,2223
Roy Hodgson ,Crystal Palace,2324,
Jim Smith,Derby County,9596,9596
Colin Todd,Derby County,0102,0102
Billy McEwan ,Derby County,0203,0203
John Gregory,Derby County,0203,0203
Billy Davies,Derby County,0607,0607
Paul Jewell,Derby County,0708,0708
Howard Kendall,Everton,9293,9293
Jimmy Gabriel ,Everton,9394,9394
Mike Walker,Everton,9495,9495
Joe Royle,Everton,9495,9697
Dave Watson ,Everton,9798,9798
Howard Kendall,Everton,9798,9798
Walter Smith,Everton,9899,9899
David Moyes,Everton,0203,1213
Roberto Martínez,Everton,1314,1516
David Unsworth ,Everton,1617,1617
Ronald Koeman,Everton,1617,1617
David Unsworth ,Everton,1718,1718
Sam Allardyce,Everton,1718,1718
Marco Silva,Everton,1819,1819
Duncan Ferguson ,Everton,1920,1920
Carlo Ancelotti,Everton,1920,2021
Rafael Benítez,Everton,2122,2122
Duncan Ferguson ,Everton,2223,2223
Frank Lampard,Everton,2223,2223
Sean Dyche ,Everton,2324,
Jean Tigana,Fulham,0001,0203
Chris Coleman,Fulham,0304,0607
Lawrie Sanchez,Fulham,0708,0708
Ray Lewington ,Fulham,0708,0708
Roy Hodgson,Fulham,0708,0910
Ray Lewington ,Fulham,1011,1011
Mark Hughes,Fulham,1011,1011
Martin Jol,Fulham,1112,1213
René Meulensteen,Fulham,1314,1314
Felix Magath,Fulham,1415,1415
Slaviša Jokanović,Fulham,1516,1718
Claudio Ranieri,Fulham,1819,1819
