Season ID,Champions,Relegated 1,Relegated 2,Relegated 3,Relegated 4
9293,Manchester United,Crystal Palace,Middlesbrough,Nottingham Forest,
9394,Manchester United,Sheffield United,Oldham Athletic,Swindon Town,
9495,Blackburn Rovers,Crystal Palace,Norwich City,Leicester City,Ipswich Town
9596,Manchester United,Manchester City,Queens Park Rangers,Bolton Wanderers,
9697,Manchester United,Sunderland,Middlesbrough,Nottingham Forest,
9798,Arsenal,Bolton Wanderers,Barnsley,Crystal Palace,
9899,Manchester United,Charlton Athletic,Blackburn Rovers,Nottingham Forest,
9900,Manchester United,Wimbledon,Sheffield Wednesday,Watford,
0001,Manchester United,Manchester City,Coventry City,Bradford City,
0102,Arsenal,Ipswich Town,Derby County,Leicester City,
0203,Manchester United,West Ham United,West Bromwich Albion,Sunderland,
0304,Arsenal,Leicester City,Leeds United,Wolverhampton Wanderers,
0405,Chelsea,Crystal Palace,Norwich City,Southampton,
0506,Chelsea,Birmingham City,West Bromwich Albion,Sunderland,
0607,Manchester United,Sheffield United,Charlton Athletic,Watford,
0708,Manchester United,Reading,Birmingham City,Derby County,
0809,Manchester United,Newcastle United,Middlesbrough,West Bromwich Albion,
0910,Chelsea,Burnley,Hull City,Portsmouth,
1011,Manchester United,Birmingham City,Blackpool,West Ham United,
1112,Manchester City,Bolton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,
1213,Manchester United,Wigan Athletic,Reading,Queens Park Rangers,
1314,Manchester City,Norwich City,Fulham,Cardiff City,
1415,Chelsea,Hull City,Burnley,Queens Park Rangers,
1516,Leicester City,Aston Villa,Norwich City,Newcastle United,
1617,Chelsea,Sunderland,Middlesbrough,Hull City,
1718,Manchester City,Swansea City,Stoke City,West Bromwich Albion,
1819,Manchester City,Cardiff City,Fulham,Huddersfield Town,
1920,Liverpool,Bournemouth,Watford,Norwich City,
2021,Manchester City,Fulham,West Bromwich Albion,Sheffield United,
2122,Manchester City,Burnley,Watford,Norwich City,
2223,Manchester City,Southampton,Leeds United,Leicester City,
